"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 02 17:49:02 CST 2022","Sat Apr 02 17:49:03 CST 2022","784","main","testmain","TestMain","","","错误URL地址失败",""
"passed","Sat Apr 02 17:48:36 CST 2022","Sat Apr 02 17:48:37 CST 2022","1022","main","testmain","TestMain","","","未登录状态获取用户信息失败",""
"passed","Sat Apr 02 17:48:20 CST 2022","Sat Apr 02 17:48:22 CST 2022","1546","main","testmain","TestMain","","","错误的请求方式兑换失败DELETE",""
"passed","Sat Apr 02 17:38:20 CST 2022","Sat Apr 02 17:38:22 CST 2022","1578","main","testmain","TestMain","","","缺少addressLine修改地址失败",""
"passed","Sat Apr 02 17:34:07 CST 2022","Sat Apr 02 17:34:08 CST 2022","781","main","testmain","TestMain","","","错误的参数类型查询失败application/json",""
"passed","Sat Apr 02 17:44:21 CST 2022","Sat Apr 02 17:44:44 CST 2022","23590","main","testmain","TestMain","","","输入错误的URL修改密码失败",""
"passed","Sat Apr 02 17:35:56 CST 2022","Sat Apr 02 17:36:00 CST 2022","3748","main","testmain","TestMain","","","count参数为负数新增失败",""
"passed","Sat Apr 02 17:46:18 CST 2022","Sat Apr 02 17:46:24 CST 2022","6068","main","testmain","TestMain","","","无参数修改密码失败",""
"passed","Sat Apr 02 17:39:00 CST 2022","Sat Apr 02 17:39:02 CST 2022","1585","main","testmain","TestMain","","","输入错误地址删除地址失败",""
"passed","Sat Apr 02 17:48:08 CST 2022","Sat Apr 02 17:48:09 CST 2022","789","main","testmain","TestMain","","","参数PageSize为空查询失败",""
"passed","Sat Apr 02 17:34:51 CST 2022","Sat Apr 02 17:34:53 CST 2022","1650","main","testmain","TestMain","","","错误请求方式DELETE查询商品详情失败",""
"passed","Sat Apr 02 17:33:43 CST 2022","Sat Apr 02 17:33:44 CST 2022","792","main","testmain","TestMain","","","userAccount输入31个字符注册失败",""
"passed","Sat Apr 02 17:48:30 CST 2022","Sat Apr 02 17:48:30 CST 2022","518","main","testmain","TestMain","","","错误的请求类型领取优惠券失败DELETE",""
"passed","Sat Apr 02 17:40:03 CST 2022","Sat Apr 02 17:40:06 CST 2022","3150","main","testmain","TestMain","","","shopCartId为空提交订单失败",""
"passed","Sat Apr 02 17:35:19 CST 2022","Sat Apr 02 17:35:22 CST 2022","3666","main","testmain","TestMain","","","填写错误URL添加购物车失败",""
"passed","Sat Apr 02 17:37:19 CST 2022","Sat Apr 02 17:37:21 CST 2022","2368","main","testmain","TestMain","","","参数请求方式错误批量删除失败application/x-www-form-urlencoded",""
"failed","Sat Apr 02 17:33:50 CST 2022","Sat Apr 02 17:33:51 CST 2022","805","main","testmain","TestMain","","","password包含中文注册失败",""
"passed","Sat Apr 02 17:37:34 CST 2022","Sat Apr 02 17:37:35 CST 2022","796","main","testmain","TestMain","","","请求方式错误查询失败（PUT）",""
"passed","Sat Apr 02 17:34:19 CST 2022","Sat Apr 02 17:34:20 CST 2022","781","main","testmain","TestMain","","","错误的请求类型查询失败multipart/form-data",""
"passed","Sat Apr 02 17:43:10 CST 2022","Sat Apr 02 17:43:12 CST 2022","2085","main","testmain","TestMain","","","错误参数请求类型删除商品失败",""
